environment,subject,data_from,final_loss,final_accuracy
Classroom,m1,m1,0.09246508777141571,0.977475643157959
Classroom,m1,m2,0.5162680149078369,0.8952915072441101
Classroom,m1,m3,0.20708785951137543,0.9485633373260498
Classroom,m2,m1,0.4863247871398926,0.8914930820465088
Classroom,m2,m2,0.09903132170438766,0.9727224707603455
Classroom,m2,m3,0.04815250635147095,0.9821504354476929
Classroom,m3,m1,0.48849648237228394,0.9221726059913635
Classroom,m3,m2,0.21875903010368347,0.9377561211585999
Classroom,m3,m3,0.11918067187070847,0.9665983319282532
Office,m1,m1,0.09805317968130112,0.9841466546058655
Office,m1,m2,0.4593602418899536,0.910400927066803
Office,m1,m3,0.9264848828315735,0.8875877261161804
Office,m2,m1,0.992024838924408,0.8415532112121582
Office,m2,m2,0.22319677472114563,0.9358029961585999
Office,m2,m3,0.3345250189304352,0.8959080576896667
Office,m3,m1,0.4613260328769684,0.8618803024291992
Office,m3,m2,0.3504585027694702,0.8965269923210144
Office,m3,m3,0.12637534737586975,0.9664983749389648
