test_environments,test_monitors,final_loss,final_accuracy
Classroom,m1,0.12411203980445862,0.9732142686843872
Classroom,m2,0.1279105693101883,0.9625529646873474
Classroom,m3,0.3170722424983978,0.9454405903816223
Office,m1,0.32561057806015015,0.956484854221344
Office,m2,0.2536149322986603,0.9330494403839111
Office,m3,0.18353459239006042,0.9523062109947205
